Id,Name ,BestTime,Best Distance
1,Back Squat,,
2,Romaian Deadlift,,
3,Dumbbell Split Squat,,
4,Polequin Step,,
5,Single Leg Leg Press,,
6,Lying Leg Curl,,
7,Nordic Curls,,
8,Bench Press,,
9,Seated Dumbbell Press,,
10,Bodyweight Dips,,
11,Pull ups or assisted Pull ups,,
12,Rowing Machine,,
13,Ski Erg,,
14,Kettlbell Swing,,
15,Trap Bar Deadlift,,
16,Bent Over Row,,
17,Dumbbell Bench Press,,
18,Good Morning,,
19,Swiss Ball Crunch Isometric,,
20,Burpees,,
21,TRX Row,,
22,Press-up,,